Year,Year ending,Police Service Area,Local Government Area,Offence Division,Offence Subdivision,Offence Subgroup,Incidents Recorded,"PSA Rate per 100,000 population","LGA Rate per 100,000 population"
2025,June,Ballarat,Ballarat,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,6,4.6,4.8
2025,June,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,222,168.4,179.3
2025,June,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,183,138.8,147.8
2025,June,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",71,53.8,57.3
2025,June,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,316,239.7,255.2
2025,June,Ballarat,Ballarat,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,284,215.4,229.4
2025,June,Ballarat,Ballarat,A Crimes against the person,A30 Sexual offences,A30 Sexual offences,230,174.4,185.8
2025,June,Ballarat,Ballarat,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,2,1.5,1.6
2025,June,Ballarat,Ballarat,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,3,2.3,2.4
2025,June,Ballarat,Ballarat,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,40,30.3,32.3
2025,June,Ballarat,Ballarat,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,3,2.3,2.4
2025,June,Ballarat,Ballarat,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,7,5.3,5.7
2025,June,Ballarat,Ballarat,A Crimes against the person,A60 Blackmail and extortion,A62 Extortion,3,2.3,2.4
2025,June,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,29,22.0,23.4
2025,June,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,21,15.9,17.0
2025,June,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,13,9.9,10.5
2025,June,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,7,5.3,5.7
2025,June,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,54,41.0,43.6
2025,June,Ballarat,Ballarat,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,46,34.9,37.2
2025,June,Ballarat,Ballarat,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,187,141.8,151.0
