Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population"
2025,June,1 North West Metro, Banyule,8326,6262.8
2025,June,1 North West Metro, Brimbank,14558,7309.0
2025,June,1 North West Metro, Darebin,15257,9429.9
2025,June,1 North West Metro, Hobsons Bay,6458,6665.9
2025,June,1 North West Metro, Hume,17689,6312.1
2025,June,1 North West Metro, Maribyrnong,9958,10446.9
2025,June,1 North West Metro, Melbourne,35214,18097.4
2025,June,1 North West Metro, Melton,12336,5285.1
2025,June,1 North West Metro, Merri-bek,12612,6680.1
2025,June,1 North West Metro, Moonee Valley,8448,6441.9
2025,June,1 North West Metro, Nillumbik,1756,2747.4
2025,June,1 North West Metro, Whittlesea,14130,5419.2
2025,June,1 North West Metro, Wyndham,19035,5450.6
2025,June,1 North West Metro, Yarra,12934,12665.4
2025,June,1 North West Metro,Total,188711,7577.9
2025,June,2 Eastern, Alpine,363,2745.0
2025,June,2 Eastern, Bass Coast,2589,5840.8
2025,June,2 Eastern, Baw Baw,3911,6197.2
2025,June,2 Eastern, Benalla,1164,7897.6
2025,June,2 Eastern, Boroondara,7996,4453.2
2025,June,2 Eastern, East Gippsland,4223,8485.7
2025,June,2 Eastern, Greater Shepparton,7193,10198.1
2025,June,2 Eastern, Indigo,465,2598.0
2025,June,2 Eastern, Knox,8394,5117.4
2025,June,2 Eastern, Latrobe,9997,12584.3
2025,June,2 Eastern, Manningham,4028,3034.7
2025,June,2 Eastern, Mansfield,308,2807.5
2025,June,2 Eastern, Maroondah,6879,5722.9
2025,June,2 Eastern, Mitchell,3662,6160.8
2025,June,2 Eastern, Moira,1749,5650.2
2025,June,2 Eastern, Monash,12445,5877.2
2025,June,2 Eastern, Murrindindi,493,3141.0
2025,June,2 Eastern, South Gippsland,1649,5273.6
2025,June,2 Eastern, Strathbogie,561,4729.5
2025,June,2 Eastern, Towong,165,2639.1
2025,June,2 Eastern, Wangaratta,2019,6655.1
2025,June,2 Eastern, Wellington,3946,8413.8
2025,June,2 Eastern, Whitehorse,9570,5158.4
2025,June,2 Eastern, Wodonga,3550,7778.4
2025,June,2 Eastern, Yarra Ranges,5810,3611.5
2025,June,2 Eastern,Total,103129,5738.9
2025,June,3 Southern Metro, Bayside,4708,4403.3
2025,June,3 Southern Metro, Cardinia,7052,5249.9
2025,June,3 Southern Metro, Casey,22396,5362.8
2025,June,3 Southern Metro, Frankston,13754,9460.1
2025,June,3 Southern Metro, Glen Eira,6857,4210.4
2025,June,3 Southern Metro, Greater Dandenong,17560,10400.3
2025,June,3 Southern Metro, Kingston,10441,6223.2
2025,June,3 Southern Metro, Mornington Peninsula,9333,5425.7
2025,June,3 Southern Metro, Port Phillip,12590,10974.4
2025,June,3 Southern Metro, Stonnington,11322,9825.4
2025,June,3 Southern Metro,Total,116013,6801.5
2025,June,4 Western, Ararat,1197,10235.5
2025,June,4 Western, Ballarat,10626,8581.8
2025,June,4 Western, Buloke,212,3602.8
2025,June,4 Western, Campaspe,3138,8213.4
2025,June,4 Western, Central Goldfields,1129,8187.3
2025,June,4 Western, Colac-Otway,1309,5859.2
2025,June,4 Western, Corangamite,684,4333.4
2025,June,4 Western, Gannawarra,612,5888.5
2025,June,4 Western, Glenelg,1713,8555.6
2025,June,4 Western, Golden Plains,645,2400.1
2025,June,4 Western, Greater Bendigo,9516,7464.2
2025,June,4 Western, Greater Geelong,19179,6480.3
2025,June,4 Western, Hepburn,673,3966.4
2025,June,4 Western, Hindmarsh,235,4305.8
2025,June,4 Western, Horsham,1721,8420.8
2025,June,4 Western, Loddon,408,5249.8
2025,June,4 Western, Macedon Ranges,1985,3637.6
2025,June,4 Western, Mildura,6317,10901.0
2025,June,4 Western, Moorabool,2213,5442.6
2025,June,4 Western, Mount Alexander,1022,4857.5
2025,June,4 Western, Moyne,541,3041.1
2025,June,4 Western, Northern Grampians,954,8115.7
2025,June,4 Western, Pyrenees,380,4732.8
2025,June,4 Western, Queenscliffe,86,2424.3
2025,June,4 Western, Southern Grampians,959,5799.4
2025,June,4 Western, Surf Coast,1054,2599.4
2025,June,4 Western, Swan Hill,1574,7492.9
2025,June,4 Western, Warrnambool,2770,7608.9
2025,June,4 Western, West Wimmera,148,3849.0
2025,June,4 Western, Yarriambiack,364,5792.9
2025,June,4 Western,Total,73364,6652.2
2025,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,1141,
2025,June,Justice Institutions and Immigration Facilities,Total,1141,
2025,June,Unincorporated Vic, Unincorporated Vic,67,
2025,June,Unincorporated Vic,Total,67,
2024,June,1 North West Metro, Banyule,6577,4985.2
