Year,Year ending,Local Government Area,Location Division,Location Subdivision,Location Group,Incidents Recorded
2025,June,Alpine,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,14
2025,June,Alpine,1 Residential,11 Dwelling - private,112 House,106
2025,June,Alpine,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,2
2025,June,Alpine,1 Residential,11 Dwelling - private,117 Farm House,2
2025,June,Alpine,1 Residential,12 Dwelling  - non-private,122 Holiday Home,1
2025,June,Alpine,1 Residential,12 Dwelling  - non-private,123 Guest House,4
2025,June,Alpine,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,2
2025,June,Alpine,1 Residential,12 Dwelling  - non-private,127 Other Dwelling,1
2025,June,Alpine,1 Residential,13 Grounds/surrounding land,1310 Farm Building,3
2025,June,Alpine,1 Residential,13 Grounds/surrounding land,132 Backyard,8
2025,June,Alpine,1 Residential,13 Grounds/surrounding land,133 Frontyard,14
2025,June,Alpine,1 Residential,13 Grounds/surrounding land,134 Garage,2
2025,June,Alpine,1 Residential,13 Grounds/surrounding land,135 Shed,2
2025,June,Alpine,1 Residential,13 Grounds/surrounding land,136 Premises Under Construction,1
2025,June,Alpine,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),3
2025,June,Alpine,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,15
2025,June,Alpine,2 Community,21 Education,211 School,2
2025,June,Alpine,2 Community,21 Education,212 School Grounds,2
2025,June,Alpine,2 Community,21 Education,213 Other Educational,1
2025,June,Alpine,2 Community,22 Health,221 Hospital,1
2025,June,Alpine,2 Community,22 Health,222 Medical Centre,1
2025,June,Alpine,2 Community,23 Religious,231 Church,1
2025,June,Alpine,2 Community,25 Other Transport,255 Carpark (Single Level),6
2025,June,Alpine,2 Community,25 Other Transport,257 Other Transport Type/Area,2
2025,June,Alpine,2 Community,26 Justice,261 Police Station,2
2025,June,Alpine,2 Community,26 Justice,262 Court,12
2025,June,Alpine,2 Community,26 Justice,265 Other Justice Facility,1
2025,June,Alpine,2 Community,27 Open Space,271 Parkland/Reserve,12
2025,June,Alpine,2 Community,27 Open Space,272 Rural,1
2025,June,Alpine,2 Community,27 Open Space,273 Vacant Block,1
2025,June,Alpine,2 Community,27 Open Space,275 Other Open Space,2
2025,June,Alpine,2 Community,28 Street/footpath,281 Street/Lane/Footpath,54
2025,June,Alpine,2 Community,29 Other community location,292 Civic Centre,1
2025,June,Alpine,2 Community,29 Other community location,294 Car Wash,1
2025,June,Alpine,3 Other,31 Admin/professional,312 Other Admin/Professional,2
2025,June,Alpine,3 Other,33 Retail,3311 Restaurant/Fastfood,3
2025,June,Alpine,3 Other,33 Retail,3312 Other Retail,10
2025,June,Alpine,3 Other,33 Retail,332 Service Station,5
2025,June,Alpine,3 Other,33 Retail,335 Supermarket,8
2025,June,Alpine,3 Other,33 Retail,336 Department Store,1
2025,June,Alpine,3 Other,33 Retail,337 Shopping Complex,2
2025,June,Alpine,3 Other,35 Warehousing/storage,351 Warehousing/Storage,1
2025,June,Alpine,3 Other,37 Agricultural,373 Other Agricultural,1
2025,June,Alpine,3 Other,38 Recreational,381 Licensed Premises,16
2025,June,Alpine,3 Other,38 Recreational,384 Sport Area/Facility,4
2025,June,Alpine,3 Other,39 Other location,392 Other Location (Not Elsewhere),7
2025,June,Alpine,3 Other,39 Other location,393 Construction Site,2
2025,June,Ararat,1 Residential,11 Dwelling - private,111 Flat/Unit/Apartment,30
2025,June,Ararat,1 Residential,11 Dwelling - private,112 House,381
2025,June,Ararat,1 Residential,11 Dwelling - private,113 Bungalow,2
2025,June,Ararat,1 Residential,11 Dwelling - private,114 Caravan/Mobile Home,4
2025,June,Ararat,1 Residential,11 Dwelling - private,116 Ministry Of Housing,1
2025,June,Ararat,1 Residential,11 Dwelling - private,117 Farm House,12
2025,June,Ararat,1 Residential,12 Dwelling  - non-private,121 Boarding House,3
2025,June,Ararat,1 Residential,12 Dwelling  - non-private,122 Holiday Home,1
2025,June,Ararat,1 Residential,12 Dwelling  - non-private,124 Nursing Home,1
2025,June,Ararat,1 Residential,12 Dwelling  - non-private,125 Hotel/Motel,7
2025,June,Ararat,1 Residential,12 Dwelling  - non-private,127 Other Dwelling,5
2025,June,Ararat,1 Residential,13 Grounds/surrounding land,1310 Farm Building,13
2025,June,Ararat,1 Residential,13 Grounds/surrounding land,1311 Storage Cage,1
2025,June,Ararat,1 Residential,13 Grounds/surrounding land,132 Backyard,17
2025,June,Ararat,1 Residential,13 Grounds/surrounding land,133 Frontyard,33
2025,June,Ararat,1 Residential,13 Grounds/surrounding land,134 Garage,7
2025,June,Ararat,1 Residential,13 Grounds/surrounding land,135 Shed,11
2025,June,Ararat,1 Residential,13 Grounds/surrounding land,137 Other Residential (nec),10
2025,June,Ararat,1 Residential,13 Grounds/surrounding land,138 Driveway/Carport,22
